"year","trial_name","trial_type","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CMD_infect_plants","height_1st_branch","yield_ha","planted_number_plot","height","harvest_number","root_number","germinated_number_plot","starch_content","shoot_weight_plot","root_weight_water","root_rot_number","germination_perc","starch_yield_ha","CMD_incidence"
2023,"2023131DMEPR_stun","2023131DMEPR_stun","2023-May-29","2024-March-20","Stung Treng Province, Stung Treng",NA,"2023131DMEPR_stun_rep3_KU50_20",3,20,5,4,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",0,230,34.9,25,230,9,NA,25,17.6,NA,NA,NA,100,6.1424,0
2023,"2023131DMEPR_stun","2023131DMEPR_stun","2023-May-29","2024-March-20","Stung Treng Province, Stung Treng",NA,"2023131DMEPR_stun_rep3_TMEB419_22",3,22,6,2,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",0,160,17.3,25,160,8,NA,20,15.5,NA,NA,NA,80,2.6815,0
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_CM9912-167_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",NA,NA,21.7,14,322,NA,NA,6,30.8,17.6,13,1,42.8571428571429,6.6836,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_GM1263-6_12",1,12,2,3,"test"," (Operator: lizbethpino, Time: )","GM1263-6","test",NA,NA,35.3,14,282,NA,NA,6,26.7,13.2,21.2,0,42.8571428571429,9.4251,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi1_8",1,8,2,7,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",NA,NA,40,14,224,NA,NA,6,30.6,15.2,24,0,42.8571428571429,12.24,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi2_11",1,11,2,4,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",NA,NA,31,14,230,NA,NA,6,20.1,15.8,18.6,0,42.8571428571429,6.231,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi3_13",1,13,2,2,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,26.7,14,180,NA,NA,6,26.1,15.6,16,0,42.8571428571429,6.9687,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi4_9",1,9,2,6,"test"," (Operator: lizbethpino, Time: )","IBA-980505","test",NA,NA,22.3,14,220,NA,NA,6,20.9,13,13.4,0,42.8571428571429,4.6607,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi5_6",1,6,1,6,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,31,14,315,NA,NA,6,24.3,20,18.6,0,42.8571428571429,7.533,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_KU50_3",1,3,1,3,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",NA,NA,30,14,335,NA,NA,6,28.6,19,18,0,42.8571428571429,8.58,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Rayong11_14",1,14,2,1,"check"," (Operator: lizbethpino, Time: )","Rayong11","test",NA,NA,16.7,14,280,NA,NA,6,27,14,10,1,42.8571428571429,4.509,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok","R72","2023132DMEPR_naph_rep1_Rayong72_5",1,5,1,5,"check"," (Operator: lizbethpino, Time: )","Rayong72","test",NA,NA,47,14,310,NA,NA,6,29.2,18,28.2,0,42.8571428571429,13.724,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM1127-8_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",NA,NA,29.3,14,303,NA,NA,6,28.6,19.6,17.6,0,42.8571428571429,8.3798,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM1669-5_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","SM1669-5","test",NA,NA,34.3,14,319,NA,NA,6,31.1,18,20.6,1,42.8571428571429,10.6673,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM2775-2_7",1,7,1,7,"test"," (Operator: lizbethpino, Time: )","SM2775-2","test",NA,NA,45,14,300,NA,NA,6,28.1,22.6,27,0,42.8571428571429,12.645,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM2775-4_10",1,10,2,5,"test"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",NA,NA,23,14,240,NA,NA,5,28.7,14.4,13.8,0,35.7142857142857,6.601,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_CM9912-167_19",2,19,3,5,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",NA,NA,46,14,312,NA,NA,6,30.4,19,27.6,0,42.8571428571429,13.984,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_GM1263-6_23",2,23,4,6,"test"," (Operator: lizbethpino, Time: )","GM1263-6","test",NA,NA,51,14,224,NA,NA,6,27.4,15,30.6,0,42.8571428571429,13.974,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi1_16",2,16,3,2,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",NA,NA,38.3,14,214,NA,NA,6,29.2,14.8,23,0,42.8571428571429,11.1836,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi2_28",2,28,4,1,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",NA,NA,27.3,14,285,NA,NA,6,22.4,18.8,16.4,0,42.8571428571429,6.1152,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi3_21",2,21,3,7,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,31.7,14,250,NA,NA,6,24.2,18,19,0,42.8571428571429,7.6714,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi4_18",2,18,3,4,"test"," (Operator: lizbethpino, Time: )","IBA-980505","test",NA,NA,24.7,14,227,NA,NA,6,19.6,15,14.8,1,42.8571428571429,4.8412,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi5_26",2,26,4,3,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,34.7,14,260,NA,NA,6,25.2,18.8,20.8,0,42.8571428571429,8.7444,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_KU50_20",2,20,3,6,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",NA,NA,39,14,232,NA,NA,6,27.6,14.8,23.4,0,42.8571428571429,10.764,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Rayong11_25",2,25,4,4,"check"," (Operator: lizbethpino, Time: )","Rayong11","test",NA,NA,40.7,14,215,NA,NA,6,27.2,12,24.4,0,42.8571428571429,11.0704,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok","R72","2023132DMEPR_naph_rep2_Rayong72_27",2,27,4,2,"check"," (Operator: lizbethpino, Time: )","Rayong72","test",NA,NA,35.3,14,270,NA,NA,6,26.9,11.6,21.2,0,42.8571428571429,9.4957,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_SM1127-8_22",2,22,4,7,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",NA,NA,30.7,14,220,NA,NA,6,29.3,14.4,18.4,0,42.8571428571429,8.9951,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_SM1669-5_17",2,17,3,3,"test"," (Operator: lizbethpino, Time: )","SM1669-5","test",NA,NA,31,14,276,NA,NA,6,31.4,20,18.6,1,42.8571428571429,9.734,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_SM2775-2_24",2,24,4,5,"test"," (Operator: lizbethpino, Time: )","SM2775-2","test",NA,NA,32.7,14,234,NA,NA,5,29.1,12.8,19.6,0,35.7142857142857,9.5157,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_SM2775-4_15",2,15,3,1,"test"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",NA,NA,15.3,14,320,NA,NA,6,26.8,13,9.2,1,42.8571428571429,4.1004,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_CM9912-167_42",3,42,6,1,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",NA,NA,28.7,14,216,NA,NA,6,30.1,11,17.2,0,42.8571428571429,8.6387,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_GM1263-6_35",3,35,5,7,"test"," (Operator: lizbethpino, Time: )","GM1263-6","test",NA,NA,36.7,14,235,NA,NA,6,27.6,14.4,22,0,42.8571428571429,10.1292,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_Hanoi1_34",3,34,5,6,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",NA,NA,37.3,14,195,NA,NA,6,30.3,12,22.4,0,42.8571428571429,11.3019,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_Hanoi2_39",3,39,6,4,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",NA,NA,27.3,14,250,NA,NA,6,21.9,13.4,16.4,0,42.8571428571429,5.9787,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_Hanoi3_29",3,29,5,1,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,20,14,190,NA,NA,6,24.2,9.8,12,0,42.8571428571429,4.84,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_Hanoi4_31",3,31,5,3,"test"," (Operator: lizbethpino, Time: )","IBA-980505","test",NA,NA,31,14,216,NA,NA,6,20,15.8,18.6,0,42.8571428571429,6.2,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_Hanoi5_41",3,41,6,2,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,38.3,14,210,NA,NA,6,22.4,13.6,23,0,42.8571428571429,8.5792,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_KU50_30",3,30,5,2,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",NA,NA,23.3,14,210,NA,NA,6,29.3,16.8,14,0,42.8571428571429,6.8269,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_Rayong11_37",3,37,6,6,"check"," (Operator: lizbethpino, Time: )","Rayong11","test",NA,NA,33.7,14,187,NA,NA,6,29.7,9,20.2,1,42.8571428571429,10.0089,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok","R72","2023132DMEPR_naph_rep3_Rayong72_32",3,32,5,4,"check"," (Operator: lizbethpino, Time: )","Rayong72","test",NA,NA,41,14,272,NA,NA,6,28.9,15,24.6,0,42.8571428571429,11.849,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_SM1127-8_40",3,40,6,3,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",NA,NA,22,14,223,NA,NA,6,28.5,10,13.2,0,42.8571428571429,6.27,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_SM1669-5_33",3,33,5,5,"test"," (Operator: lizbethpino, Time: )","SM1669-5","test",NA,NA,32.7,14,242,NA,NA,6,33.9,12.2,19.6,0,42.8571428571429,11.0853,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_SM2775-2_38",3,38,6,5,"test"," (Operator: lizbethpino, Time: )","SM2775-2","test",NA,NA,27.3,14,256,NA,NA,6,28,14.4,16.4,0,42.8571428571429,7.644,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep3_SM2775-4_36",3,36,6,7,"test"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",NA,NA,26.7,14,259,NA,NA,6,29.6,17,16,0,42.8571428571429,7.9032,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_CM9912-167_5",1,5,1,5,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",NA,NA,18.3,13,149,6,NA,NA,20.1,NA,11,NA,NA,3.6783,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_GM1263-6_10",1,10,2,1,"test"," (Operator: lizbethpino, Time: )","GM1263-6","test",NA,NA,6.7,13,125,6,NA,NA,11.4,NA,4,NA,NA,0.7638,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province","IBA057","2023135DMEPR_blik_rep1_IBA920057_8",1,8,2,3,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",NA,NA,4.3,13,138,6,NA,NA,11.8,NA,2.6,NA,NA,0.5074,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_IBA972205_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,3.3,13,136,3,NA,NA,25.8,NA,2,NA,NA,0.8514,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","2023135DMEPR_blik_rep1_IBA980581_15",1,15,3,5,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,6.7,13,115,6,NA,NA,12.5,NA,4,NA,NA,0.8375,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_KU50_11",1,11,3,1,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",NA,NA,22.3,13,149,6,NA,NA,24.4,NA,13.4,NA,NA,5.4412,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_KU50-15_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","test",NA,NA,18.3,13,149,6,NA,NA,27,NA,11,NA,NA,4.941,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_KU50-H4_12",1,12,3,2,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","test",NA,NA,25,13,149,6,NA,NA,26.2,NA,15,NA,NA,6.55,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_Rayong11_9",1,9,2,2,"check"," (Operator: lizbethpino, Time: )","Rayong11","test",NA,NA,19.7,13,120,6,NA,NA,28.1,NA,11.8,NA,NA,5.5357,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province","R72","2023135DMEPR_blik_rep1_Rayong72_1",1,1,1,1,"check"," (Operator: lizbethpino, Time: )","Rayong72","test",NA,NA,17.7,13,120,6,NA,NA,31.1,NA,10.6,NA,NA,5.5047,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_SM1127-8_7",1,7,2,4,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",NA,NA,3,13,80,3,NA,NA,12.3,NA,1.8,NA,NA,0.369,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_SM1669-5_14",1,14,3,4,"test"," (Operator: lizbethpino, Time: )","SM1669-5","test",NA,NA,8.3,13,150,6,NA,NA,10.9,NA,5,NA,NA,0.9047,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_SM2775-2_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","SM2775-2","test",NA,NA,8.3,13,95,5,NA,NA,15.3,NA,5,NA,NA,1.2699,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_SM2775-4_13",1,13,3,3,"test"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",NA,NA,11.7,13,126,6,NA,NA,17.8,NA,7,NA,NA,2.0826,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep1_TMEB419_6",1,6,2,5,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",NA,NA,20,13,139,6,NA,NA,26.5,NA,12,NA,NA,5.3,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_CM9912-167_28",2,28,6,3,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",NA,NA,22.5,13,136,6,NA,NA,19,NA,13.5,NA,NA,4.275,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_GM1263-6_19",2,19,4,2,"test"," (Operator: lizbethpino, Time: )","GM1263-6","test",NA,NA,8.3,13,141,6,NA,NA,17.7,NA,5,NA,NA,1.4691,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province","IBA057","2023135DMEPR_blik_rep2_IBA920057_21",2,21,5,1,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",NA,NA,5,13,115,6,NA,NA,11.2,NA,3,NA,NA,0.56,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_IBA972205_16",2,16,4,5,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,3.3,13,140,6,NA,NA,13.5,NA,2,NA,NA,0.4455,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","2023135DMEPR_blik_rep2_IBA980581_17",2,17,4,4,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,6.7,13,94,6,NA,NA,10.5,NA,4,NA,NA,0.7035,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_KU50-15_25",2,25,5,5,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","test",NA,NA,26,13,149,6,NA,NA,27.3,NA,15.6,NA,NA,7.098,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_KU50_27",2,27,6,4,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",NA,NA,33.3,13,149,6,NA,NA,26,NA,20,NA,NA,8.658,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_KU50-H4_30",2,30,6,1,"test"," (Operator: lizbethpino, Time: )","KU50_is_KM94","test",NA,NA,24.7,13,132,6,NA,NA,23.3,NA,14.8,NA,NA,5.7551,NA
2023,"2023135DMEPR_blik","2023135DMEPR_blik","2023-May-19","2024-March-20","Bolikham district, Bolikhamxay province",NA,"2023135DMEPR_blik_rep2_Rayong11_24",2,24,5,4,"check"," (Operator: lizbethpino, Time: )","Rayong11","test",NA,NA,21,13,149,6,NA,NA,26.1,NA,12.6,NA,NA,5.481,NA
